Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,2_Star_Rating,3_Star_Rating,5_Star_Rating,Organic Search Rank,online_cost_per_impression,4_Star_Rating,average_rating,num_unique_Search_Terms,total_clicks,num_unique_campaigns,total_cost,Online_Impressions,Segment_Makeup,Online_Clicks,Online_Cost,video_cost_per_impression,Units_sold>1000
985.0,38.004656739999994,125,221,7,11,67.0,40.0,173,1677,13.0,0.0,273,4.5,1.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2412.0,19.68140794,82,186,0,5,57.0,43.0,138,1465,47.0,0.020310556773646144,225,4.6,5.0,575.0,4,3016.158302,148501,True,575.0,3016.158302,0.0,1
3139.0,12.12570356,91,54,8,4,15.0,0.0,0,0,27.0,0.01232793950395749,0,1.0,9.0,1373.0,2,3544.972972,287555,False,1373.0,3544.972972,0.0,0
2966.0,17.61633282,84,63,6,6,96.0,55.0,193,2185,26.0,0.022910844933992657,339,4.6,7.0,1719.0,2,6593.076757500001,287770,False,1719.0,6593.076757500001,0.0,0
3159.0,17.97477064,118,209,8,5,48.0,28.0,67,890,16.0,0.0,138,4.5,1.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2034.0,28.72475424,117,209,12,4,92.0,61.0,148,2296,34.0,0.04596606147198216,361,4.6,3.0,5386.0,2,58653.083675,50217,False,595.0,2308.323675,0.010541854962766111,1
2976.0,18.36469534,113,209,13,2,26.0,27.0,61,516,18.0,0.008618593667632351,109,4.4,0.0,1353.0,2,2638.780679,306172,False,1353.0,2638.780679,0.0,1
3918.0,8.107488987,83,61,10,2,29.0,16.0,56,819,6.0,0.0,121,4.6,4.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
4860.0,21.44880383,152,186,9,1,73.0,60.0,151,1834,11.0,0.011927661491850648,281,4.6,7.0,979.0,2,2125.926746,178234,False,979.0,2125.926746,0.0,1
331.0,25.48770144,126,221,9,6,107.0,88.0,199,2884,13.0,0.0,434,4.6,8.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
5689.0,17.07169254,124,221,9,1,66.0,52.0,113,1484,21.0,0.0,235,4.5,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
4245.0,17.8406395,86,62,8,11,185.5,135.5,374,5093,13.0,0.0,766,4.6,9.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
3903.0,6.61298377,91,59,5,4,49.0,38.0,81,1227,19.0,0.0,179,4.6,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
3777.0,24.47740964,87,60,7,4,69.0,37.0,146,1971,15.0,0.019259253920934246,303,4.6,4.0,5493.0,4,58844.919307000004,129815,True,702.0,2500.159307,0.010541854962766111,1
1221.0,14.49537037,166,158,0,6,23.0,20.0,66,1076,33.0,0.0,173,4.7,5.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
6585.0,16.98777826,89,141,6,1,99.0,72.0,194,3272,14.0,0.012411704377291307,453,4.6,6.0,5192.0,4,57641.423168,104470,False,862.0,1296.663168,0.010541854962766111,1
2259.0,20.7018684,110,209,9,10,75.0,53.0,129,1196,23.0,0.0,214,4.4,6.0,9522.0,0,102695.19,0,True,0.0,0.0,0.012037634431919535,1
6813.0,24.49385749,173,158,0,3,18.0,21.0,34,0,18.0,0.025289940583860148,0,2.2,0.0,1770.0,2,4124.46054,163086,False,1770.0,4124.46054,0.0,0
